,Mode,ResponseTime,Mistakes,Step
0,1,0,0,0
1,1,0,0,0
2,1,0,0,0
3,2,0,0,0
4,2,0,0,0
5,2,0,0,0
6,3,0,0,0
7,3,0,0,0
8,3,0,0,0
9,4,0,0,0
10,4,0,0,0
11,4,0,0,0
12,4,0,0,0
13,5,0,0,0
14,5,0,0,0
15,5,0,0,0
16,5,0,0,0
17,5,0,0,0
18,5,0,0,0
19,5,0,0,0
20,5,0,4,0
21,5,0,1,0
22,5,0,0,0
23,5,0,0,0
24,5,0,1,0
25,5,0,0,0
26,5,0,0,0
27,5,0,1,0
28,5,0,0,0
29,6,0,1,0
30,6,0,6,0
31,6,0,1,0
32,6,0,2,0
33,6,0,0,0
34,6,0,0,0
35,6,0,2,0
36,6,0,0,0
37,6,0,0,0
38,6,0,0,0
39,6,0,0,0
40,6,0,1,0
41,6,0,1,0
42,6,0,0,0
43,6,0,0,0
44,6,0,0,0
45,6,0,0,0
46,6,0,0,0
47,6,0,0,0
48,6,0,0,0
49,7,0,0,0
50,7,0,1,0
51,7,0,1,0
52,7,0,1,0
53,7,0,1,0
54,7,0,0,0
55,7,0,0,0
56,7,0,0,0
57,7,0,0,0
58,7,0,2,0
59,7,0,0,0
60,7,0,1,0
61,7,0,2,0
62,7,0,0,0
63,7,0,0,0
64,7,0,0,0
65,7,0,0,0
66,7,0,0,0
67,7,0,0,0
68,8,0,0,0
69,8,0,0,0
70,8,0,2,0
71,8,0,0,0
72,8,0,1,0
73,8,0,0,0
74,8,0,0,0
75,8,0,0,0
76,8,0,1,0
77,8,0,0,0
78,8,0,0,0
79,8,0,0,0
80,8,0,0,0
81,8,0,0,0
82,8,0,2,0
83,8,0,1,0
84,8,0,0,0
85,8,0,0,0
86,8,0,0,0
87,1,0,0,0
88,1,0,0,0
89,1,0,0,0
90,1,0,0,0
91,2,0,0,0
92,2,0,0,0
93,2,0,0,0
94,2,0,0,0
95,3,0,0,0
96,3,0,0,0
97,3,0,0,0
98,4,0,0,0
99,4,0,0,0
100,4,0,0,0
101,5,0,0,0
102,5,0,0,0
103,5,0,0,0
104,5,0,1,0
105,5,0,0,0
106,5,0,0,0
107,5,0,0,0
108,5,0,0,0
109,5,0,1,0
110,5,0,0,0
111,5,0,0,0
112,5,0,0,0
113,5,0,0,0
114,5,0,0,0
115,5,0,0,0
116,5,0,0,0
117,5,0,0,0
118,5,0,0,0
119,5,0,0,0
120,5,0,0,0
121,6,0,0,0
122,6,0,0,0
123,6,0,0,0
124,6,0,0,0
125,6,0,1,0
126,6,0,1,0
127,6,0,0,0
128,6,0,1,0
129,6,0,0,0
130,6,0,0,0
131,6,0,0,0
132,6,0,0,0
133,6,0,0,0
134,6,0,0,0
135,6,0,0,0
136,6,0,0,0
137,6,0,0,0
138,6,0,0,0
139,6,0,0,0
140,6,0,0,0
141,7,0,0,0
142,7,0,0,0
143,7,0,1,0
144,7,0,0,0
145,7,0,0,0
146,7,0,0,0
147,7,0,0,0
148,7,0,0,0
149,7,0,0,0
150,7,0,0,0
151,7,0,0,0
152,7,0,0,0
153,7,0,0,0
154,7,0,0,0
155,7,0,0,0
156,7,0,0,0
157,7,0,1,0
158,7,0,0,0
159,7,0,0,0
160,7,0,0,0
161,7,0,0,0
162,8,0,0,0
163,8,0,1,0
164,8,0,0,0
165,8,0,0,0
166,8,0,0,0
167,8,0,1,0
168,8,0,0,0
169,8,0,0,0
170,8,0,0,0
171,8,0,1,0
172,8,0,0,0
173,8,0,0,0
174,8,0,0,0
175,8,0,0,0
176,8,0,0,0
177,8,0,0,0
178,8,0,0,0
179,8,0,0,0
180,8,0,0,0
181,8,0,0,0
182,8,0,0,0
183,8,0,0,0
184,1,0,0,0
185,1,0,0,0
186,1,0,0,0
187,2,0,0,0
188,2,0,0,0
189,2,0,0,0
190,2,0,0,0
191,3,0,0,0
192,3,0,0,0
193,3,0,0,0
194,3,0,0,0
195,4,0,0,0
196,4,0,0,0
197,4,0,0,0
198,5,0,1,0
199,5,0,0,0
200,5,0,0,0
201,5,0,1,0
202,5,0,0,0
203,5,0,0,0
204,5,0,0,0
205,5,0,1,0
206,5,0,0,0
207,5,0,0,0
208,5,0,0,0
209,5,0,0,0
210,5,0,1,0
211,5,0,0,0
212,5,0,1,0
213,5,0,0,0
214,5,0,0,0
215,5,0,0,0
216,5,0,0,0
217,5,0,0,0
218,5,0,0,0
219,5,0,0,0
220,5,0,1,0
221,5,0,0,0
222,6,0,0,0
223,6,0,0,0
224,6,0,0,0
225,6,0,0,0
226,6,0,1,0
227,6,0,0,0
228,6,0,1,0
229,6,0,0,0
230,6,0,0,0
231,6,0,1,0
232,6,0,1,0
233,6,0,0,0
234,6,0,0,0
235,6,0,0,0
236,6,0,0,0
237,6,0,0,0
238,6,0,0,0
239,6,0,2,0
240,6,0,0,0
241,6,0,0,0
242,6,0,0,0
243,7,0,0,0
244,7,0,0,0
245,7,0,0,0
246,7,0,2,0
247,7,0,1,0
248,7,0,0,0
249,7,0,0,0
250,7,0,1,0
251,7,0,1,0
252,7,0,0,0
253,7,0,0,0
254,7,0,1,0
255,7,0,0,0
256,7,0,0,0
257,7,0,0,0
258,7,0,0,0
259,7,0,0,0
260,7,0,0,0
261,7,0,0,0
262,7,0,0,0
263,7,0,1,0
264,7,0,0,0
265,7,0,0,0
266,7,0,0,0
267,7,0,0,0
268,7,0,0,0
269,7,0,0,0
270,7,0,0,0
271,8,0,0,0
272,8,0,0,0
273,8,0,0,0
274,8,0,0,0
275,8,0,0,0
276,8,0,0,0
277,8,0,3,0
278,8,0,0,0
279,8,0,0,0
280,8,0,1,0
281,8,0,0,0
282,8,0,1,0
283,8,0,0,0
284,8,0,0,0
285,8,0,0,0
286,8,0,0,0
287,8,0,0,0
288,8,0,0,0
289,8,0,1,0
290,8,0,2,0
291,8,0,0,0
292,8,0,3,0
293,8,0,0,0
294,8,0,0,0
295,8,0,0,0
296,8,0,0,0
297,8,0,0,0
298,1,0,0,0
299,1,0,0,0
300,1,0,0,0
301,2,0,0,0
302,2,0,0,0
303,2,0,0,0
304,3,0,0,0
305,3,0,0,0
306,3,0,0,0
307,4,0,0,0
308,4,0,0,0
309,4,0,0,0
310,5,0,1,0
311,5,0,0,0
312,5,0,1,0
313,5,0,0,0
314,5,0,2,0
315,5,0,0,0
316,5,0,0,0
317,5,0,0,0
318,5,0,0,0
319,5,0,1,0
320,5,0,0,0
321,5,0,0,0
322,5,0,0,0
323,5,0,0,0
324,5,0,0,0
325,5,0,0,0
326,5,0,0,0
327,5,0,1,0
328,5,0,0,0
329,5,0,0,0
330,5,0,0,0
331,5,0,1,0
332,5,0,0,0
333,6,0,0,0
334,6,0,0,0
335,6,0,0,0
336,6,0,0,0
337,6,0,0,0
338,6,0,1,0
339,6,0,0,0
340,6,0,0,0
341,6,0,0,0
342,6,0,0,0
343,6,0,0,0
344,6,0,0,0
345,6,0,0,0
346,6,0,0,0
347,6,0,0,0
348,6,0,0,0
349,6,0,1,0
350,6,0,0,0
351,6,0,0,0
352,6,0,0,0
353,6,0,0,0
354,6,0,0,0
355,6,0,0,0
356,7,0,0,0
357,7,0,0,0
358,7,0,0,0
359,7,0,0,0
360,7,0,0,0
361,7,0,1,0
362,7,0,1,0
363,7,0,0,0
364,7,0,0,0
365,7,0,0,0
366,7,0,0,0
367,7,0,1,0
368,7,0,0,0
369,7,0,0,0
370,7,0,0,0
371,7,0,0,0
372,7,0,0,0
373,7,0,0,0
374,7,0,0,0
375,7,0,0,0
376,7,0,0,0
377,7,0,0,0
378,7,0,0,0
379,7,0,0,0
380,7,0,0,0
381,7,0,0,0
382,7,0,0,0
383,8,0,0,0
384,8,0,0,0
385,8,0,0,0
386,8,0,0,0
387,8,0,0,0
388,8,0,1,0
389,8,0,0,0
390,8,0,0,0
391,8,0,0,0
392,8,0,2,0
393,8,0,0,0
394,8,0,1,0
395,8,0,2,0
396,8,0,1,0
397,8,0,2,0
398,8,0,0,0
399,8,0,0,0
400,1,0,0,0
401,1,0,0,0
402,1,0,0,0
403,2,0,0,0
404,2,0,0,0
405,2,0,0,0
406,3,0,0,0
407,3,0,0,0
408,3,0,0,0
409,3,0,0,0
410,4,0,0,0
411,4,0,0,0
412,4,0,0,0
413,4,0,0,0
414,5,0,1,0
415,5,0,0,0
416,5,0,0,0
417,5,0,1,0
418,5,0,0,0
419,5,0,1,0
420,5,0,2,0
421,5,0,1,0
422,5,0,2,0
423,5,0,1,0
424,5,0,1,0
425,5,0,2,0
426,5,0,2,0
427,5,0,0,0
428,5,0,0,0
429,5,0,4,0
430,5,0,1,0
431,5,0,0,0
432,5,0,0,0
433,5,0,2,0
434,5,0,0,0
435,5,0,1,0
436,5,0,0,0
437,5,0,0,0
438,5,0,0,0
439,5,0,1,0
440,6,0,0,0
441,6,0,1,0
442,6,0,0,0
443,6,0,2,0
444,6,0,0,0
445,6,0,1,0
446,6,0,1,0
447,6,0,1,0
448,6,0,1,0
449,6,0,1,0
450,6,0,1,0
451,6,0,0,0
452,6,0,1,0
453,6,0,0,0
454,6,0,0,0
455,6,0,0,0
456,6,0,1,0
457,6,0,0,0
458,6,0,3,0
459,6,0,0,0
460,6,0,0,0
461,6,0,0,0
462,6,0,1,0
463,6,0,1,0
464,6,0,0,0
465,6,0,0,0
466,7,0,1,0
467,7,0,0,0
468,7,0,1,0
469,7,0,0,0
470,7,0,0,0
471,7,0,0,0
472,7,0,1,0
473,7,0,0,0
474,7,0,0,0
475,7,0,1,0
476,7,0,2,0
477,7,0,0,0
478,7,0,0,0
479,7,0,0,0
480,7,0,0,0
481,7,0,0,0
482,7,0,0,0
483,7,0,0,0
484,7,0,1,0
485,7,0,0,0
486,7,0,0,0
487,7,0,0,0
488,7,0,0,0
489,7,0,0,0
490,7,0,0,0
491,7,0,0,0
492,8,0,0,0
493,8,0,0,0
494,8,0,1,0
495,8,0,1,0
496,8,0,0,0
497,8,0,1,0
498,8,0,0,0
499,8,0,0,0
500,8,0,1,0
501,8,0,0,0
502,8,0,0,0
503,8,0,0,0
504,8,0,0,0
505,8,0,0,0
506,8,0,0,0
507,8,0,0,0
508,8,0,0,0
509,8,0,0,0
510,8,0,0,0
511,8,0,0,0
512,8,0,0,0
513,8,0,0,0
514,8,0,0,0
515,8,0,0,0
516,8,0,0,0
517,8,0,0,0
518,8,0,0,0
519,1,0,0,0
520,1,0,0,0
521,1,0,0,0
522,1,0,0,0
523,2,0,0,0
524,2,0,0,0
525,2,0,0,0
526,2,0,0,0
527,3,0,0,0
528,3,0,0,0
529,3,0,0,0
530,3,0,0,0
531,4,0,0,0
532,4,0,0,0
533,4,0,0,0
534,4,0,0,0
535,5,0,0,0
536,5,0,0,0
537,5,0,0,0
538,5,0,0,0
539,5,0,0,0
540,5,0,0,0
541,5,0,0,0
542,5,0,2,0
543,5,0,0,0
544,5,0,0,0
545,5,0,0,0
546,5,0,0,0
547,5,0,0,0
548,5,0,0,0
549,5,0,0,0
550,5,0,1,0
551,5,0,0,0
552,5,0,0,0
553,5,0,1,0
554,5,0,0,0
555,5,0,0,0
556,5,0,0,0
557,5,0,0,0
558,5,0,0,0
559,6,0,1,0
560,6,0,1,0
561,6,0,1,0
562,6,0,0,0
563,6,0,0,0
564,6,0,0,0
565,6,0,2,0
566,6,0,1,0
567,6,0,1,0
568,6,0,0,0
569,6,0,0,0
570,6,0,0,0
571,6,0,0,0
572,6,0,0,0
573,6,0,0,0
574,6,0,0,0
575,6,0,0,0
576,6,0,0,0
577,6,0,0,0
578,6,0,0,0
579,6,0,0,0
580,6,0,0,0
581,6,0,0,0
582,7,0,0,0
583,7,0,0,0
584,7,0,0,0
585,7,0,0,0
586,7,0,0,0
587,7,0,0,0
588,7,0,1,0
589,7,0,0,0
590,7,0,0,0
591,7,0,0,0
592,7,0,0,0
593,7,0,0,0
594,7,0,0,0
595,7,0,1,0
596,7,0,0,0
597,7,0,0,0
598,7,0,0,0
599,7,0,1,0
600,7,0,1,0
601,7,0,0,0
602,7,0,0,0
603,7,0,0,0
604,7,0,0,0
605,7,0,0,0
606,7,0,0,0
607,7,0,0,0
608,8,0,0,0
609,8,0,0,0
610,8,0,0,0
611,8,0,0,0
612,8,0,0,0
